cher,47
compatriotes,46
an,135
achève,8
sais,25
rude,2
beaucoup,21
entre,27
crise,27
économique,17
financer,12
commencé,9
continué,26
faire,59
sentir,1
effet,7
nombre,16
ceux,45
perdu,3
emploi,28
fait,38
exacerber,1
sentiment,4
injustice,3
ressenti,1
salarié,13
rien,15
respirer,4
pourtant,4
grâce,15
travail,61
français,53
cours,13
capacité,13
adapter,4
force,24
économe,19
avantages,1
modèle,10
social,42
récession,1
moins,9
sévère,1
dure,18
plus,152
connu,7
partenaires,10
annonce,6
comme,52
porté,21
espérer,11
croissance,11
revient,4
grand,48
réforme,18
engagé,38
fruit,2
universel,8
enfin,18
autonome,3
ouvre,27
modernisent,1
jamais,18
elles,7
passé,11
cherchent,3
vus,1
dotés,1
moyens,7
considérer,4
emprunt,1
entreprises,15
utile,9
plein,13
crédit,4
impôt,5
recherche,5
innover,9
mille,10
effectué,1
heures,9
supplémentaires,4
entièrement,1
défiscalisées,1
eux-mêmes,2
permis,7
soutenir,2
pouvoir,13
achat,5
malgré,5
système,7
retraite,10
mis,15
abri,2
faillite,1
inéluctable,2
guettait,1
penser,13
aînés,5
sauvé,4
premier,25
fois,17
france,118
pu,3
affronter,4
capital,3
violence,5
blocage,2
service,7
minimum,1
bien,13
fonctionné,4
esprit,11
responsabilité,17
savez,5
rendez-vous,2
douloureux,3
veux,42
rendre,10
homme,14
maturité,1
intelligence,3
collective,2
europe,32
tempête,3
su,7
face,32
certes,2
assez,4
complètement,1
souvre,6
rapide,4
tenu,12
protégés,19
croyez,1
proposer,11
sorte,20
euro,10
isolées,4
folie,1
fin,26
opposer,3
tout,106
retour,1
arrière,1
fer,14
fi,1
construction,4
européen,27
apporté,1
paix,6
fraternité,9
continent,5
dis,5
autre,31
fermeté,2
toujours,22
préférence,1
communautaire,3
battu,3
protection,13
industrie,3
réciprocité,1
naïveté,1
discussions,1
commerciales,1
principal,5
essentielle,5
avenir,23
identité,5
valls,20
conviction,9
intime,5
faut,16
inlassablement,2
renforcer,5
atouts,4
effacer,2
points,1
faibles,4
compétitifs,11
forme,26
mieux,14
jeunes,20
réduit,6
dépenses,11
public,19
déficits,1
sous,2
peine,4
voir,2
indépendance,6
grave,13
menacée,5
regard,7
pays,66
voulu,3
vive,52
au-dessus,1
lendemains,1
lourde,4
sanctionnés,1
devoir,18
perspective,1
tiendra,2
donc,20
équilibre,4
compte,20
transigerai,1
objectif,4
électoral,2
important,10
pouvez,21
payer,5
luxe,1
immobiles,4
pré-électoral,1
alors,21
monde,29
avis,12
vit,9
stupéfiante,1
doit,36
être,52
difficulté,14
lorsqu,11
jeu,1
intérêt,5
nation,25
commun,15
privilégier,1
