chers,28
compatriotes,33
élu,3
mai,1
dernier,3
construit,9
ensemble,20
nouveau,29
france,87
juste,7
uns,14
respectueuse,2
pacte,3
républicain,6
telle,3
voulez,8
met,7
tout,64
force,13
service,14
ambition,19
aussi,44
celle,5
premier,17
ministre,4
auquel,3
tiens,3
rendre,5
homme,19
actes,18
courageuse,3
menée,3
déterminés,4
circonstances,1
particulièrement,1
difficile,8
gouvernement,19
sens,14
depuis,9
sept,1
mois,8
priorité,8
emploi,41
nom,9
remettons,1
fin,3
public,16
ordre,4
afin,2
économie,8
créatrice,1
travail,11
riche,10
lutte,10
merci,2
contre,21
chômage,12
long,10
durée,5
grâce,7
initiative,10
aide,9
artisans,2
petites,3
moyens,8
entreprises,11
développer,7
inséparable,1
exclusion,4
refuse,1
fracture,1
social,28
apparue,1
fil,2
an,73
programme,2
plus,100
mille,4
logement,2
faveur,4
démunis,2
cours,10
prestation,1
garantit,12
bientôt,2
autonomie,2
personne,11
âgées,2
dépend,10
décidé,3
réforme,21
protection,7
non,7
détruire,2
comme,28
certains,8
voulu,6
faire,38
croire,3
garder,3
léguer,2
envié,13
efficace,2
accessible,1
tous,45
fait,15
parce,17
possible,7
attendre,3
mettre,3
péril,4
sécurité,9
dont,36
gardien,2
facile,3
sais,10
crise,7
venir,5
traverse,2
rappelé,1
au-delà,7
défense,5
intérêts,5
particuliers,7
mis,3
lumière,1
inquiétudes,2
angoisses,1
face,10
trop,10
longtemps,7
différées,2
avenir,29
incertain,4
révélé,1
manque,2
convie,19
pouvoir,10
ressentis,2
éloignés,1
réalité,4
quotidien,6
autre,24
réponse,2
problèmes,3
heure,2
accroissement,1
contribue,3
chacun,36
reconnaissons-le,1
pu,1
éveiller,1
chez,8
quelques,3
doutes,4
rapport,2
espoir,3
élection,1
naître,2
eh,1
bien,30
porte,12
déçus,1
faut,19
tire,8
leçons,1
gouverner,1
aujourd,11
hui,11
vingt,1
dernière,6
esquiver,1
vrais,3
poser,3
pansements,1
blessures,1
soigne,1
jamais,11
remettre,4
demain,5
délai,1
bout,1
système,8
comprendre,5
être,47
pays,24
paix,13
lui-même,2
compte,4
monde,34
devra,22
bouger,3
adapter,10
éducation,4
production,1
contraintes,1
