français,32
métropole,4
outre-mer,4
souhait,20
bon,31
an,100
nom,7
franc,78
seule,5
histoire,12
pourra,1
dire,14
recul,5
temps,10
trace,3
laisse,11
achève,3
chacun,8
sait,3
changement,3
voulu,4
peuple,10
mai,2
chargé,4
conduit,3
-concours,2
gouvernement,17
république,27
assemblée,2
national,20
issue,1
derniers,7
élection,8
promis,5
entreprendre,1
aussitôt,2
réforme,13
permettra,5
fait,16
propos,9
parle,12
voté,3
dont,26
pays,35
besoin,10
mener,1
bien,26
politique,21
économique,13
réduit,3
dominer,5
etat,9
individus,2
collectives,2
locales,1
commun,23
départements,3
régions,1
respect,4
uns,21
nation,4
disposerez,1
pouvoir,12
droit,26
différence,1
responsabilité,7
gèrerez,1
plus,67
largement,3
propre,5
affaires,1
verra,3
administration,1
régenter,1
part,13
vie,18
quotidienne,3
pauvre,6
démunis,1
entre,22
moyen,12
vive,48
peu,4
mieux,28
tout,43
relançant,1
consommation,1
populaire,2
nécessaire,2
croissance,8
économie,6
attends,13
faire,16
davantage,2
augmentés,3
bas,6
salaires,1
minimum,2
vieilles,2
allocation,3
handicapés,3
logis,5
familiales,1
aide,11
apportée,2
petits,3
exploitants,1
agricoles,1
accablés,2
pendant,6
huit,2
successives,1
baisse,1
achat,3
murs,3
rattrapage,1
pris,4
certain,5
catégories,1
comme,45
anciens,3
combattants,2
rapatriés,1
oublier,6
impôt,2
grand,25
fortunes,1
encore,27
esquisse,1
société,7
juste,6
faudra,5
bâtir,1
étendre,3
champ,3
libre,22
public,10
pénal,2
voie,4
être,25
débarrassé,1
lois,4
inutile,4
répressives,1
renforcé,4
sécurité,13
gardiens,1
paix,23
gendarmes,2
actuellement,2
recrutés,1
iront,1
grossir,1
rang,4
force,10
veille,7
tranquilité,1
ville,4
campagnes,1
social,24
cours,14
trimestre,1
prochain,10
dès,9
mois,18
janvier,4
réduction,2
travail,21
hebdomadaire,1
cinquième,3
semaine,3
congés,3
retraite,4
facultative,1
interdicion,1
cumuls,1
emploi,13
forme,19
professionnelle,5
jeunes,14
garanti,2
immigrés,2
voulez,4
réalité,5
femmes,4
égalité,9
condition,7
salaire,8
reconnu,2
loi,3
enfin,10
nouveaux,2
entreprise,5
général,8
conventions,1
auxquelles,1
échappe,2
près,5
trois,5
mille,12
faisant,4
contractuelle,1
information,2
négocier,6
pierre,2
angulaire,1
répondra,4
espoir,11
chômage,14
inflation,8
gagne,12
bataille,1
tous,33
mobilise,5
facultés,1
énergie,3
initiative,5
-entreprise,1
produit,6
nécessité,4
effort,12
constate,4
confié,7
toujours,4
doit,16
cessé,5
peser,1
seul,10
entreprises,2
fiscalité,1
freiner,1
volonté,10
agir,5
structures,5
industrie,4
afin,5
cap,7
reconquérir,1
marché,7
intérieur,2
distancer,1
terrain,4
concurrents,2
étranger,4
distribution,1
aussi,20
croyez-moi,2
meilleure,3
façon,4
vaincre,1
cas,6
reprise,6
là,10
premier,19
répète,7
dehors,1
périls,3
accumulent,2
depuis,15
appartient,2
peuples,18
courageux,2
habite,1
amour,1
sacré,1
patrie,7
pourquoi,5
dans-le-cadre,1
allons,8
devra,10
assure,7
nous-même,2
défense,8
ordonne,2
construction,4
septième,1
sous-marin,1
nucléaire,3
fixé,3
stratégie,1
armée,5
choix,4
nôtre,14
désarmer,7
collective,1
emporte,1
emporter,4
faut,12
maintienne,1
équilire,1
deux,14
puisse,12
monde,25
cependant,4
danger,4
coexister,1
europe,49
bientot,1
quarante,1
sort,8
yalta,1
jamais,11
confondre,4
désir,2
aujourd,5
hui,5
drame,4
polonais,1
inscrit,2
contradiction,1
solidaire,10
celle,11
pologne,2
prouvons-le,1
refus,2
système,3
opprime,2
engendre,1
défendant,1
aspiration,2
indépendant,6
sache,10
mesurer,2
lenteurs,1
autre,36
objectif,5
principal,2
européen,12
dix,4
entendre,2
voix,1
parmi,7
tiers,6
égard,2
fort,9
riches,5
écouté,7
simplement,3
parce,6
répéter,1
lutte,6
contre,13
misère,5
faim,5
passe,7
nouvel,11
ordre,4
monétaire,2
mondial,3
soutien,2
matières,1
dépend,5
heureux,9
compte,8
fin,11
trente-trois,1
africains,1
venu,5
discuter,3
constater,5
parole,2
identifiait,1
avant,6
quitter,2
pense,12
celles,4
ceux,27
connaît,5
deuil,2
chagrins,2
poids,2
maladie,4
sol,5
souffre,12
entendu,2
vont,4
fêter,6
joyeusement,1
cercle,1
famille,12
ensemble,18
redis,1
inspiré,4
acte,7
fidèle,2
tradition,3
veut,2
chef,4
offre,4
voeux,22
occasion,5
présente,1
soir,10
plupart,2
venons,2
difficile,10
crise,9
jusqu,2
alors,4
frappe,5
aggrave,2
etats-unis,7
amérique,6
japon,2
dévaste,1
université,3
tourmente,1
soutenu,1
fois,17
budget,1
chômgage,1
défendu,1
moins,4
favorisés,1
tard,3
assez,2
comportée,1
extérieurs,4
voilà,7
vérité,3
total,2
dépit,5
remarquerez,2
réussites,1
agriculture,2
exemple,5
connu,5
résulte,2
bientôt,9
renouveau,1
industriel,1
entrepris,2
porte,9
-fruits,2
production,2
échanges,3
demeurer,3
