bon,69
an,318
chacun,85
pres,3
huit,4
heures,40
preparez,2
doute,19
celebrer,2
fin,34
famille,44
amis,13
peut-etre,2
aussi,116
quelques-uns,2
sol,17
pendant,18
quelques,16
minute,2
vais,4
parle,32
voudra,24
ni,25
ennuyer,2
attrister,2
presentant,1
acte,34
conduit,18
politique,48
franc,381
deja,2
decrites,1
dont,94
occasion,11
nouveau,77
mois,41
prochain,23
rappel,6
difficulté,34
risque,17
reels,1
monde,117
lequel,9
vive,133
allé,40
voeux,70
vraiment,4
abord,34
appartenez,5
ensemble,47
commun,41
region,1
profession,17
religion,5
gens,8
part,46
syndicat,5
pourtant,14
plus,277
importe,18
auquel,10
communaute,2
national,40
aille,8
quand,35
veut,13
decrire,1
lorsqu,16
deplacez,1
exterieur,2
dit,11
meme,5
societe,7
affecte,1
profond,8
sort,27
tout,194
vie,59
souhait,60
nom,26
trait,12
dignes,16
justice,32
permis,9
repondre,2
aspirez,8
ambition,24
travail,75
assure,19
epanouissement,1
garanti,20
bien,86
possible,19
ressources,6
emploi,81
ete,10
liberte,12
vu,13
choix,25
moment,27
election,2
presidentielle,2
depuis,48
date,2
effort,36
proteger,1
privee,6
contre,55
ecoutes,2
=telephoniques=,1
censure,1
individus,5
familiaux,4
concernant,2
homme,45
femmes,16
travaux,5
laisse,18
decider,2
tranche,2
libre,55
beaucoup,32
sert,5
grand,89
sujet,11
=action,1
sociale=,1
apres,7
fraternel,29
est-a-dire,2
sent,7
autour,15
resserrer,1
dire,55
gouvernement,55
devra,65
certain,25
nombre,20
problemes,6
interessent,1
exemple,11
condition,16
remuneration,1
categories,4
comme,114
ptt,1
apercevons,1
personne,41
hospitalier,2
=sante,1
publique=,1
particulier,9
etre,7
accompli,10
direction,2
defavorises,3
jeunes,43
recherche,16
age,39
dernier,15
conseil,5
ministre,12
jour,33
noel,1
pris,21
dispositions,3
concerne,3
handicap,8
texte,1
loi,21
vote,7
esprit,29
atteint,3
inflation,9
pense,39
agriculteurs,3
artisans,3
conditions_de_vie,1
difficile,27
economie,8
moderne,9
petit,8
entreprises,28
examines,1
soin,2
attention,3
donc,25
apporte,10
sentiment,11
chaleur,17
puis,14
parfois,19
interroge,1
declaration,1
interview,1
demande,9
est-ce,2
meilleur,10
cause,21
pays,116
peuple,23
suivi,2
chose,24
reprises,5
jeune,7
diriger,6
affirme,14
place,32
parmi,16
nations,14
responsable,19
continue,30
jouer,4
role,2
exprime,8
fois,36
mesure,9
tolerance,1
conciliation,3
tourmente,4
apparaitre,1
precieux,3
cap,31
propos,20
autre,87
temps,38
rechercher,1
realisme,4
solution,5
posé,11
desormais,1
echelle,1
mondial,23
adresser,18
compatriote,104
antilles,2
recu,2
sais,31
pu,7
voir,5
yeux,5
main,14
rentre,2
etes,39
couvertes,1
ecorchures,1
ongles,1
fait,75
serrant,1
departements,4
territoires,6
outre-mer,24
auxquels,3
irai,4
rendre,15
visite,4
installes,4
a_l_etranger,2
font,16
soir,57
malheur,8
ceux,97
fete,4
veux,42
victimes,18
accidents,3
cruels,3
notation,18
celui,20
frappe,13
population,6
miniere,1
nord,5
=lievin=,1
hopitaux,1
hospices,1
egalement,2
salut,13
immigres,6
portugais,2
espagnols,2
algeriens,1
marocains,1
citoyen,11
francophone,2
afrique,7
actif,25
doivent,15
accueil,14
enfin,32
penser,41
chretienne,1
revolutionnaire,1
pouvez,21
apercevoir,2
debut,3
ressenti,5
mis,20
entoure,1
nature,13
oublie,16
veuve,1
veille,13
nuit,4
debout,3
dormir,1
acheve,1
peu,21
maltraitee,1
caractere,2
critique,3
incessante,1
connu,10
abri,5
fleurs,1
rencontres,4
apprendre,2
produit,16
