français,43
métropole,8
outre-mer,7
souhait,21
bon,34
an,131
nom,10
franc,131
seule,5
histoire,17
pourra,1
dire,20
recul,6
temps,11
trace,3
laisse,12
achève,4
chacun,13
sait,5
changer,5
voulu,5
peuple,12
mai,3
chargé,5
conduit,4
-concours,2
gouvernement,25
république,36
assemblée,3
national,26
issue,1
derniers,12
élection,10
promis,6
entreprendre,2
aussitôt,2
réforme,19
permettra,6
fait,26
propos,11
parle,16
voté,4
dont,34
pays,50
besoin,14
mener,3
bien,29
politique,24
économique,18
réduit,6
dominer,5
etat,13
individus,4
collectives,3
locales,1
commun,27
départements,3
régions,2
respect,7
uns,24
nation,6
disposerez,1
pouvoir,12
droit,35
différées,3
responsabilité,14
gèrerez,1
plus,99
largent,5
propre,6
affaires,1
verra,4
administration,1
régenter,1
part,21
vie,27
quotidienne,3
pauvre,6
démunis,2
entre,26
moyen,15
vive,61
peu,5
mieux,30
tout,80
relançant,1
consommation,1
populaire,2
nécessaire,3
croissance,13
économe,8
attends,15
faire,29
davantage,4
augmentés,3
bas,7
salle,2
minimum,2
vieilles,2
allocation,4
handicap,4
logis,7
familiales,2
aide,12
apportée,2
petits,3
exploitants,1
agricoles,2
accablés,2
pendant,7
huit,2
successives,1
baisse,4
achat,3
murs,5
rattrapage,1
pris,7
certain,7
catégories,1
comme,59
anciens,4
combattants,3
rapatriés,1
oublie,8
impôt,3
grand,40
fortunes,1
encore,31
esquisse,1
société,13
juste,8
faudra,6
bâtir,1
étendre,3
champ,3
libre,27
public,16
pénal,3
voie,4
être,42
débarrassé,1
lois,4
inutile,5
répressives,1
renforcé,5
sécurité,18
gardiens,1
paix,24
gendarmes,4
actuellement,2
recrutés,1
iront,1
grossir,1
rang,5
force,17
veille,9
tranquilité,1
ville,4
campagnes,1
social,37
cours,16
trimestre,1
prochain,15
dès,16
mois,24
janvier,6
réduction,3
travail,30
hebdomadaire,1
cinquième,4
semaine,3
congés,3
retraite,6
facultative,1
interdicion,1
cumul,2
emploi,22
forme,27
professionnelle,7
jeunes,24
garanti,3
immigrés,2
voulez,5
réalité,5
femmes,4
égalité,13
condition,10
salaire,13
reconnu,2
loi,9
enfin,16
nouveaux,3
entreprise,5
général,9
conventions,1
auxquelles,1
échappe,2
près,7
trois,6
mille,14
fais,8
contractuelle,1
information,2
négocier,9
pierre,2
angulaire,1
répondra,4
espoir,12
chômage,22
inflation,8
gagne,13
bataille,1
tous,51
mobilise,8
facultés,1
énergie,4
initiative,7
-entreprise,1
produit,9
nécessité,6
effort,14
constate,5
confié,20
toujours,10
doit,25
cessé,5
peser,1
seul,16
entreprises,10
fiscale,2
freiner,1
volonté,12
agir,9
structures,5
industrie,5
afin,5
cap,16
reconquérir,1
marché,10
intérieur,4
distancer,1
terrain,4
concurrents,2
étranger,6
distribution,1
aussi,39
croyez-moi,2
meilleure,4
façon,4
vaincre,1
cas,7
reprise,6
là,15
premier,26
répète,7
dehors,1
péril,5
accumulent,2
depuis,18
appartient,2
peuples,20
courageux,2
habite,2
amour,2
sacré,2
patrie,12
pourquoi,11
dans-le-cadre,1
allons,12
devra,25
assure,10
nous-même,4
défense,9
ordonne,2
construction,5
septième,1
sous-marin,1
nucléaire,3
fixé,7
stratégie,2
armée,8
choix,10
nôtre,15
désarmer,7
collective,1
emporte,1
emporter,4
faut,12
maintienne,1
équilire,1
deux,15
puisse,21
monde,35
cependant,4
danger,6
coexister,1
europe,58
bientot,1
quarante,1
sort,14
yalta,1
jamais,18
confondre,4
désir,2
aujourd,7
hui,7
drame,7
polonais,1
